ID,RefSeq_accession_number,gene_symbol,gene_name
10059,NP_722541,RASGRP2,RAS guanyl-releasing protein 2
10060,NP_001314,CST6,cystatin-M precursor
10061,NP_001436,FABP6,gastrotropin isoform 2
10062,NP_003000,SEPW1,selenoprotein W
10063,NP_612480,C11ORF84,uncharacterized protein C11orf84
10064,NP_004724,SLC33A1,acetyl-coenzyme A transporter 1
10065,NP_001177768,MGP,matrix Gla protein isoform 1 precursor
10066,NP_057654,ERGIC2,endoplasmic reticulum-Golgi intermediate compartment protein 2
10067,NP_078908,SAP30L,histone deacetylase complex subunit SAP30L isoform 1
10068,NP_004156,RRAD,GTP-binding protein RAD
10069,NP_005252,GEM,GTP-binding protein GEM
10070,NP_054731,REM1,GTP-binding protein REM 1
10071,NP_002815,PTMS,parathymosin
10072,NP_115607,FAM96A,MIP18 family protein FAM96A isoform a precursor
10073,NP_000122,F7,coagulation factor VII isoform a preproprotein
10074,NP_065190,THAP11,THAP domain-containing protein 11
10075,NP_660295,ZG16B,zymogen granule protein 16 homolog B precursor
10076,NP_003491,ACOX2,peroxisomal acyl-coenzyme A oxidase 2
10077,NP_073594,CCDC14,coiled-coil domain-containing protein 14
10078,NP_036605,TXN2,"thioredoxin, mitochondrial precursor"
10079,NP_775919,CCDC141,coiled-coil domain-containing protein 141
10080,NP_000205,JAG1,protein jagged-1 precursor
10081,NP_004995,NDUFB8,NADH dehydrogenase
10082,NP_004442,ESRRA,steroid hormone receptor ERR1
10083,NP_004443,ESRRB,steroid hormone receptor ERR2
10084,NP_001191455,SSR4,translocon-associated protein subunit delta isoform 1 precursor
10085,NP_001017420,ESCO2,N-acetyltransferase ESCO2
10086,NP_542399,CDCA5,sororin
10087,NP_076997,TMEM109,transmembrane protein 109 precursor
10088,NP_067033,TRAPPC1,trafficking protein particle complex subunit 1
10089,NP_002742,MAPK11,mitogen-activated protein kinase 11
10090,NP_057315,NLK,serine/threonine-protein kinase NLK
10091,NP_005864,RGS19,regulator of G-protein signaling 19
10092,NP_068380,SLC25A19,mitochondrial thiamine pyrophosphate carrier
10093,NP_114157,WDR87,WD repeat-containing protein 87
10094,NP_006820,C10ORF116,adipogenesis regulatory factor
10095,NP_057124,TMED5,transmembrane emp24 domain-containing protein 5 isoform 1 precursor
10096,NP_060956,HDAC8,histone deacetylase 8 isoform 1
10097,NP_001159894,HDAC8,histone deacetylase 8 isoform 5
10098,NP_079375,C17ORF68,CST complex subunit CTC1
10099,NP_060351,C9ORF95,nicotinamide riboside kinase 1 isoform 1
10100,NP_004994,NDUFAB1,"acyl carrier protein, mitochondrial precursor"
10101,NP_612448,FLYWCH2,FLYWCH family member 2
10102,NP_004365,COX6C,cytochrome c oxidase subunit 6C proprotein
10103,NP_060797,SPTLC3,serine palmitoyltransferase 3
10104,NP_001093148,LRRC58,leucine-rich repeat-containing protein 58
10105,NP_055508,ECE2,endothelin-converting enzyme 2 isoform A
10106,NP_115707,ECE2,endothelin-converting enzyme 2 isoform C
10107,NP_776169,NEGR1,neuronal growth regulator 1 precursor
10108,NP_003092,SOAT1,sterol O-acyltransferase 1 isoform 1
10109,NP_001071639,FAM127A,protein FAM127A
10110,NP_001071640,FAM127B,protein FAM127B isoform 1
10111,NP_001071641,FAM127C,protein FAM127C
10112,NP_003907,AP1S2,AP-1 complex subunit sigma-2 isoform 2
10113,NP_001107648,AEBP2,zinc finger protein AEBP2 isoform b
10114,NP_001182760,CFAP57,WD repeat-containing protein 65 isoform a
10115,NP_699198,ZCCHC24,zinc finger CCHC domain-containing protein 24
10116,NP_001107595,ELK1,ETS domain-containing protein Elk-1 isoform a
10117,NP_001091110,FUT3,galactoside 3(4)-L-fucosyltransferase
10118,NP_002025,FUT5,"alpha-(1,3)-fucosyltransferase"
10119,NP_000141,FUT6,"alpha-(1,3)-fucosyltransferase"
10120,NP_004060,AP2S1,AP-2 complex subunit sigma isoform AP17
10121,NP_113601,CECR2,cat eye syndrome critical region protein 2
10122,NP_653192,C10ORF32,UPF0693 protein C10orf32
10123,NP_004657,VNN1,pantetheinase precursor
10124,NP_150592,XRCC6BP1,mitochondrial inner membrane protease ATP23 homolog
10125,NP_076957,C17ORF39,glucose-induced degradation protein 4 homolog
10126,NP_003603,SEMA7A,semaphorin-7A isoform 1 preproprotein
10127,NP_057179,GINS2,DNA replication complex GINS protein PSF2
10128,NP_005759,LPCAT3,lysophospholipid acyltransferase 5
10129,NP_054890,CRIPT,cysteine-rich PDZ-binding protein
10130,NP_001017927,C2ORF76,UPF0538 protein C2orf76
10131,NP_001137530,NTM,neurotrimin isoform 3 precursor
10132,XP_003403688,GNOMON,PREDICTED: neurotrimin-like
10133,NP_057520,PHF20,PHD finger protein 20
10134,NP_003453,DNALI1,axonemal dynein light intermediate polypeptide 1
10135,NP_065798,ZNF608,zinc finger protein 608
10136,NP_064573,C16ORF61,COX assembly mitochondrial protein 2 homolog
10137,NP_003809,CDS2,phosphatidate cytidylyltransferase 2
10138,NP_620134,C13ORF27,testis-expressed sequence 30 protein
10139,NP_115893,UNC80,protein unc-80 homolog isoform 1
10140,NP_057098,FAM108B1,alpha/beta hydrolase domain-containing protein 17B isoform 1 precursor
10141,NP_849144,IGSF10,immunoglobulin superfamily member 10 isoform 1 precursor
10142,NP_079508,REEP4,receptor expression-enhancing protein 4 precursor
10143,NP_073208,SNRNP35,U11/U12 small nuclear ribonucleoprotein 35 kDa protein isoform a
10144,NP_851030,SNRNP35,U11/U12 small nuclear ribonucleoprotein 35 kDa protein isoform b
10145,NP_001157915,ANKRD31,putative ankyrin repeat domain-containing protein 31
10146,NP_112174,TRIM8,probable E3 ubiquitin-protein ligase TRIM8
10147,NP_653198,C15ORF40,UPF0235 protein C15orf40 isoform a
10148,NP_060109,DCHS2,protocadherin-23 isoform 1
10149,NP_001136024,DCHS2,protocadherin-23 isoform 2
10150,NP_059453,MFAP2,microfibrillar-associated protein 2 isoform a precursor
10151,XP_001717815,GNOMON,PREDICTED: ankyrin repeat domain-containing protein 36B isoform 1
10152,NP_001157787,ANKRD36,ankyrin repeat domain-containing protein 36A
10153,XP_003119912,GNOMON,PREDICTED: ankyrin repeat domain-containing protein 36A
10154,XP_003960344,GNOMON,PREDICTED: LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 36A
10155,XP_003960355,GNOMON,PREDICTED: LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 36B
10156,NP_588609,RSPRY1,RING finger and SPRY domain-containing protein 1 precursor
10157,NP_001177757,FCGR2B,low affinity immunoglobulin gamma Fc region receptor II-b isoform 5
10158,NP_001002274,FCGR2B,low affinity immunoglobulin gamma Fc region receptor II-b isoform 3 precursor
10159,NP_001257820,TRAPPC6A,trafficking protein particle complex subunit 6A isoform 2
10160,XP_003960691,GNOMON,PREDICTED: bolA-like protein 2-like isoform 1
10161,NP_733745,SH2D3C,SH2 domain-containing protein 3C isoform a
10162,YP_003024029,COX2,cytochrome c oxidase subunit II
10163,NP_006867,B4GAT1,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"
10164,NP_057133,FAM158A,ER membrane protein complex subunit 9
10165,NP_001091081,GPR89A,Golgi pH regulator A isoform 1
10166,NP_620133,WDR85,WD repeat-containing protein 85
10167,NP_997264,TNFAIP8L3,tumor necrosis factor alpha-induced protein 8-like protein 3
10168,NP_001161414,TNFAIP8L1,tumor necrosis factor alpha-induced protein 8-like protein 1
10169,NP_071890,TPK1,thiamin pyrophosphokinase 1 isoform a
10170,NP_001021,RPS27,40S ribosomal protein S27
10171,NP_057004,RPS27L,40S ribosomal protein S27-like
10172,NP_004173,UXT,protein UXT isoform 2
10173,NP_997698,ABCA2,ATP-binding cassette sub-family A member 2 isoform b
10174,NP_065950,ZBTB4,zinc finger and BTB domain-containing protein 4
10175,NP_079051,GEMIN6,gem-associated protein 6
10176,NP_113650,CD99L2,CD99 antigen-like protein 2 isoform 1 precursor
10177,NP_065145,CHMP1B,charged multivesicular body protein 1b
10178,NP_004863,TMEM59,transmembrane protein 59 precursor
10179,NP_055060,RNF7,RING-box protein 2 isoform 1
10180,NP_689578,C1ORF172,uncharacterized protein C1orf172
10181,NP_115879,C14ORF142,uncharacterized protein C14orf142
10182,NP_001165419,C19ORF50,kxDL motif-containing protein 1
10183,NP_067652,GPBP1L1,vasculin-like protein 1
10184,NP_066979,TMX4,thioredoxin-related transmembrane protein 4 precursor
10185,NP_006173,DDR2,discoidin domain-containing receptor 2 precursor
10186,NP_001265358,LILRB4,leukocyte immunoglobulin-like receptor subfamily B member 4 isoform 4
10187,NP_001265356,LILRB4,leukocyte immunoglobulin-like receptor subfamily B member 4 isoform 2 precursor
10188,NP_001075106,LILRB1,leukocyte immunoglobulin-like receptor subfamily B member 1 isoform 2 precursor
10189,NP_006856,LILRB3,leukocyte immunoglobulin-like receptor subfamily A member 3 isoform 1 precursor
10190,NP_005865,LILRB2,leukocyte immunoglobulin-like receptor subfamily B member 2 isoform 1 precursor
10191,NP_001074919,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3 isoform 1 precursor
10192,NP_079203,PLEKHH3,pleckstrin homology domain-containing family H member 3 precursor
10193,NP_001004125,TUSC1,tumor suppressor candidate gene 1 protein
10194,NP_065907,TSHZ3,teashirt homolog 3
10195,NP_116130,AGPAT1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
10196,NP_065944,CCDC180,coiled-coil domain-containing protein 180
10197,NP_001240605,TBPL1,TATA box-binding protein-like protein 1
10198,NP_789744,PIGN,GPI ethanolamine phosphate transferase 1
10199,NP_060108,MED18,mediator of RNA polymerase II transcription subunit 18
10200,NP_112578,INO80B,INO80 complex subunit B
10201,NP_006020,PNMA1,paraneoplastic antigen Ma1
10202,NP_001191375,AP5S1,AP-5 complex subunit sigma-1
10203,NP_689985,TCP11L2,T-complex protein 11-like protein 2
10204,NP_061817,C21ORF45,protein Mis18-alpha
10205,NP_006510,DYNLT1,dynein light chain Tctex-type 1
10206,NP_001018060,POLR3H,DNA-directed RNA polymerase III subunit RPC8 isoform a
10207,NP_006518,SLBP,histone RNA hairpin-binding protein
10208,NP_653201,C16ORF63,lisH domain-containing protein FOPNL
10209,NP_071894,RAB17,ras-related protein Rab-17
10210,NP_004217,STK17B,serine/threonine-protein kinase 17B
10211,NP_072088,MESDC1,mesoderm development candidate 1
10212,NP_003122,SRF,serum response factor
10213,NP_057485,C11ORF73,protein Hikeshi
10214,NP_821158,GGT7,gamma-glutamyltransferase 7
10215,NP_004770,CNOT8,CCR4-NOT transcription complex subunit 8
10216,NP_036592,TIMM9,mitochondrial import inner membrane translocase subunit Tim9
10217,NP_005793,TOPORS,E3 ubiquitin-protein ligase Topors isoform 1
10218,NP_036351,MRAS,ras-related protein M-Ras isoform 1 precursor
10219,NP_996261,C19ORF63,ER membrane protein complex subunit 10 isoform 2 precursor
10220,NP_055239,HSPB7,heat shock protein beta-7
10221,NP_002505,NOV,protein NOV homolog precursor
10222,NP_005082,PGLYRP1,peptidoglycan recognition protein 1 precursor
10223,NP_057283,LSM7,U6 snRNA-associated Sm-like protein LSm7
10224,NP_064574,ENY2,enhancer of yellow 2 transcription factor homolog isoform 1
10225,NP_114403,MRPS24,"28S ribosomal protein S24, mitochondrial precursor"
10226,NP_009011,LSM6,U6 snRNA-associated Sm-like protein LSm6
10227,NP_060553,ZNF358,zinc finger protein 358
10228,NP_004282,CARTPT,cocaine- and amphetamine-regulated transcript protein preproprotein
10229,NP_001161707,FREM3,FRAS1-related extracellular matrix protein 3 precursor
10230,NP_001124336,PWWP2A,PWWP domain-containing protein 2A isoform b
10231,NP_001258448,KCNMA1,calcium-activated potassium channel subunit alpha-1 isoform f
10232,NP_001129425,GKAP1,G kinase-anchoring protein 1 isoform b
10233,NP_001257965,FCGR3B,low affinity immunoglobulin gamma Fc region receptor III-B isoform 4
10234,NP_000560,FCGR3A,low affinity immunoglobulin gamma Fc region receptor III-A isoform a precursor
10235,NP_001158243,SLC7A2,low affinity cationic amino acid transporter 2 isoform 3
10236,NP_003036,SLC7A1,high affinity cationic amino acid transporter 1
10237,NP_003755,STX11,syntaxin-11
10238,NP_114413,C10ORF11,leucine-rich repeat-containing protein C10orf11
10239,NP_057461,AKAP7,A-kinase anchor protein 7 isoform gamma isoform gamma
10240,NP_061859,SH3TC1,SH3 domain and tetratricopeptide repeat-containing protein 1
10241,NP_065974,ZDBF2,DBF4-type zinc finger-containing protein 2
10242,NP_061118,NOP10,H/ACA ribonucleoprotein complex subunit 3
10243,NP_079231,FOXRED2,FAD-dependent oxidoreductase domain-containing protein 2 precursor
10244,NP_079526,TTYH3,protein tweety homolog 3
10245,NP_777579,SH3D20,rho GTPase-activating protein 27 isoform c
10246,NP_001006611,SIAH1,E3 ubiquitin-protein ligase SIAH1 isoform b
10247,NP_005058,SIAH2,E3 ubiquitin-protein ligase SIAH2
10248,NP_001744,CAV1,caveolin-1 isoform alpha
10249,NP_115678,PSMG3,proteasome assembly chaperone 3
10250,NP_001034761,YIF1B,protein YIF1B isoform 5
10251,NP_291035,YIF1B,protein YIF1B isoform 2
10252,NP_114124,KLF16,Krueppel-like factor 16
10253,NP_057550,ANKRD39,ankyrin repeat domain-containing protein 39
10254,NP_113640,FAM103A1,RNMT-activating mini protein
10255,NP_001244030,PCGF5,polycomb group RING finger protein 5
10256,NP_660143,MAP2K5,dual specificity mitogen-activated protein kinase kinase 5 isoform A
10257,NP_001099033,CCHCR1,coiled-coil alpha-helical rod protein 1 isoform 2
10258,NP_067037,ABHD17C,alpha/beta hydrolase domain-containing protein 17C
10259,NP_112490,ABHD17A,alpha/beta hydrolase domain-containing protein 17A isoform 1
10260,NP_001010989,HERPUD1,homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein isoform 2
10261,NP_001628,AOAH,acyloxyacyl hydrolase isoform 1 preproprotein
10262,NP_001170977,AOAH,acyloxyacyl hydrolase isoform 2 preproprotein
10263,NP_000791,FGF1,fibroblast growth factor 1 isoform 1 precursor
10264,NP_078995,GRTP1,growth hormone-regulated TBC protein 1
10265,NP_116257,MPND,MPN domain-containing protein isoform 1
10266,NP_057568,PDZD11,PDZ domain-containing protein 11
10267,NP_899229,C6ORF145,PX domain-containing protein 1
10268,NP_055676,ATP2C2,calcium-transporting ATPase type 2C member 2
10269,NP_004100,FDX1,"adrenodoxin, mitochondrial precursor"
10270,NP_060844,TMEM106B,transmembrane protein 106B
10271,NP_940848,C1ORF122,uncharacterized protein C1orf122 isoform 1
10272,NP_055812,KLHDC10,kelch domain-containing protein 10
10273,NP_066918,SLC5A6,sodium-dependent multivitamin transporter
10274,NP_004405,RCAN1,calcipressin-1 isoform a
10275,NP_001238907,RCAN3,calcipressin-3 isoform 1
10276,NP_001238911,RCAN3,calcipressin-3 isoform 4
10277,NP_001776,CDA,cytidine deaminase
10278,NP_115656,ZCCHC9,zinc finger CCHC domain-containing protein 9
10279,NP_001541,IFRD1,interferon-related developmental regulator 1 isoform 1
10280,NP_065078,NKIRAS1,NF-kappa-B inhibitor-interacting Ras-like protein 1
10281,NP_001138505,AG2,uncharacterized protein C11orf96
10282,NP_061993,PCDHB8,protocadherin beta-8 precursor
10283,NP_061758,PCDHB15,protocadherin beta-15 precursor
10284,NP_061760,PCDHB3,protocadherin beta-3 precursor
10285,NP_061759,PCDHB2,protocadherin beta-2 precursor
10286,NP_061763,PCDHB7,protocadherin beta-7 precursor
10287,NP_061756,PCDHB13,protocadherin beta-13 precursor
10288,NP_061761,PCDHB4,protocadherin beta-4 precursor
10289,NP_061754,PCDHB11,protocadherin beta-11 precursor
10290,NP_056484,PCDHB5,protocadherin beta-5 precursor
10291,NP_001129691,FCGR2A,low affinity immunoglobulin gamma Fc region receptor II-a isoform 1 precursor
10292,NP_963857,FCGR2C,low affinity immunoglobulin gamma Fc region receptor II-c precursor
10293,NP_001555,ING2,inhibitor of growth protein 2
10294,NP_060520,MANSC1,MANSC domain-containing protein 1 precursor
10295,NP_056203,YIPF3,protein YIPF3
10296,NP_006262,S100A1,protein S100-A1
10297,NP_079412,OPA3,optic atrophy 3 protein isoform b
10298,NP_001017989,OPA3,optic atrophy 3 protein isoform a
10299,NP_002719,PRG2,bone marrow proteoglycan isoform 1 preproprotein
10300,NP_071319,GPRC5C,G-protein coupled receptor family C group 5 member C isoform a
10301,NP_001093140,C8ORF59,uncharacterized protein C8orf59
10302,NP_001241,CD40,tumor necrosis factor receptor superfamily member 5 isoform 1 precursor
10303,NP_001074011,FBF1,fas-binding factor 1
10304,NP_001073379,LRRIQ1,leucine-rich repeat and IQ domain-containing protein 1
10305,NP_000900,NPY1R,neuropeptide Y receptor type 1
10306,NP_001128123,EIF4E3,eukaryotic translation initiation factor 4E type 3 isoform a
10307,NP_001032755,GATSL3,GATS-like protein 3
10308,NP_001138536,GATSL2,GATS-like protein 2
10309,NP_001138535,GATSL1,GATS-like protein 1
10310,NP_005054,SCD,acyl-CoA desaturase
10311,NP_620153,MITD1,MIT domain-containing protein 1
10312,NP_004692,CCNB2,G2/mitotic-specific cyclin-B2
10313,NP_659498,SKA3,spindle and kinetochore-associated protein 3 isoform 1
10314,NP_620158,CCDC148,coiled-coil domain-containing protein 148 isoform 1
10315,NP_005946,MTF1,metal regulatory transcription factor 1
10316,NP_060320,C1ORF109,uncharacterized protein C1orf109
10317,NP_659449,CCNY,cyclin-Y isoform 1
10318,NP_071927,GZF1,GDNF-inducible zinc finger protein 1
10319,NP_689920,SLC25A16,graves disease carrier protein
10320,NP_477511,TSR2,pre-rRNA-processing protein TSR2 homolog
10321,NP_001153777,SETD6,N-lysine methyltransferase SETD6 isoform a
10322,NP_056475,GIMAP2,GTPase IMAP family member 2
10323,NP_000456,BARD1,BRCA1-associated RING domain protein 1
10324,NP_002342,SH2D1A,SH2 domain-containing protein 1A isoform 1
10325,NP_001025035,KIAA1755,uncharacterized protein KIAA1755
10326,NP_004772,VAMP3,vesicle-associated membrane protein 3
10327,NP_055047,VAMP2,vesicle-associated membrane protein 2
10328,NP_060294,MMARCH5,E3 ubiquitin-protein ligase MARCH5
10329,NP_757385,SYVN1,E3 ubiquitin-protein ligase synoviolin isoform b precursor
10330,NP_057556,C14ORF129,GSK3-beta interaction protein
10331,NP_005573,CD180,CD180 antigen precursor
10332,NP_775889,INO80E,INO80 complex subunit E
10333,NP_079411,FHOD3,FH1/FH2 domain-containing protein 3
10334,NP_055300,HPGDS,hematopoietic prostaglandin D synthase
10335,NP_001008389,CISD2,CDGSH iron-sulfur domain-containing protein 2
10336,NP_742086,TNFSF12-TNFSF13,TNFSF12-TNFSF13 protein
10337,NP_067066,C6ORF115,costars family protein ABRACL
10338,NP_001007468,SFI1,protein SFI1 homolog isoform a
10339,NP_031367,SH3BGR,SH3 domain-binding glutamic acid-rich protein isoform a
10340,NP_057131,SF3B14,pre-mRNA branch site protein p14
10341,NP_055668,SGSM2,small G protein signaling modulator 2 isoform 1
10342,NP_005688,SCAMP2,secretory carrier-associated membrane protein 2
10343,NP_640339,TSTD2,thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2
10344,NP_055580,TOMM20,mitochondrial import receptor subunit TOM20 homolog
10345,NP_065727,ABHD6,monoacylglycerol lipase ABHD6
10346,NP_001015882,DNAJC25,dnaJ homolog subfamily C member 25 precursor
10347,NP_001180583,C17ORF62,uncharacterized protein C17orf62 isoform a
10348,NP_057145,YPEL5,protein yippee-like 5
10349,NP_872329,CMC1,COX assembly mitochondrial protein homolog
10350,NP_665805,ZNF511,zinc finger protein 511
10351,NP_055217,UQCRQ,cytochrome b-c1 complex subunit 8
10352,NP_001472,GAS8,growth arrest-specific protein 8
10353,NP_002603,PDK4,"pyruvate dehydrogenase kinase, isozyme 4"
10354,NP_057339,FAM8A1,protein FAM8A1
10355,NP_006275,TAF10,transcription initiation factor TFIID subunit 10
10356,NP_612427,FAM195A,protein FAM195A
10357,NP_063949,POLE4,DNA polymerase epsilon subunit 4
10358,NP_000990,RPL38,60S ribosomal protein L38
10359,NP_001001790,TOMM5,mitochondrial import receptor subunit TOM5 homolog isoform 1
10360,NP_036547,RAD54B,DNA repair and recombination protein RAD54B isoform 1
10361,NP_001018864,IQCB1,IQ calmodulin-binding motif-containing protein 1 isoform a
10362,NP_037431,SAC3D1,SAC3 domain-containing protein 1
10363,NP_115680,HAGHL,hydroxyacylglutathione hydrolase-like protein isoform 2
10364,NP_573438,PTPRU,receptor-type tyrosine-protein phosphatase U isoform 2 precursor
10365,NP_859056,LYRM7,complex III assembly factor LYRM7
10366,NP_982293,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2 isoform 1
10367,NP_612446,GPRASP2,G-protein coupled receptor-associated sorting protein 2
10368,NP_001171656,GPRASP1,G-protein coupled receptor-associated sorting protein 1
10369,NP_055653,ZBED4,zinc finger BED domain-containing protein 4
10370,NP_061960,ARL15,ADP-ribosylation factor-like protein 15
10371,NP_542387,CDKN2AIPNL,CDKN2AIP N-terminal-like protein
10372,NP_004327,BUB1,mitotic checkpoint serine/threonine-protein kinase BUB1 isoform 1
10373,NP_997191,NUP210L,nuclear pore membrane glycoprotein 210-like isoform 1 precursor
10374,NP_076973,OBFC2B,SOSS complex subunit B1
10375,NP_001026886,OBFC2A,SOSS complex subunit B2 isoform 1
10376,NP_859064,UBXN2A,UBX domain-containing protein 2A
10377,NP_057581,MRPL51,"39S ribosomal protein L51, mitochondrial"
10378,NP_006848,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein
10379,NP_443731,MOB2,MOB kinase activator 2 isoform 2
10380,NP_060211,DCAF16,DDB1- and CUL4-associated factor 16
10381,NP_060827,LARP6,la-related protein 6 isoform 1
10382,NP_776170,BLOC1S2,biogenesis of lysosome-related organelles complex 1 subunit 2
10383,NP_061899,TMCO1,transmembrane and coiled-coil domain-containing protein 1 isoform a
10384,NP_060935,PLGRKT,plasminogen receptor (KT)
10385,NP_001001683,MED11,mediator of RNA polymerase II transcription subunit 11
10386,NP_005995,UQCRH,"cytochrome b-c1 complex subunit 6, mitochondrial"
10387,NP_001182225,MIPOL1,mirror-image polydactyly gene 1 protein
10388,NP_112494,KIF18A,kinesin-like protein KIF18A
10389,NP_001252506,KIF18B,kinesin-like protein KIF18B isoform 1
10390,NP_085056,CYB5B,cytochrome b5 type B
10391,NP_733796,TGIF1,homeobox protein TGIF1 isoform a
10392,NP_068581,TGIF2,homeobox protein TGIF2
10393,NP_001018024,CMC4,cx9C motif-containing protein 4
10394,NP_848602,OAF,out at first protein homolog precursor
10395,NP_001073966,MEGF9,multiple epidermal growth factor-like domains protein 9 precursor
10396,NP_620777,MAPKAPK5,MAP kinase-activated protein kinase 5 isoform 2
10397,NP_060489,MED9,mediator of RNA polymerase II transcription subunit 9
10398,NP_060921,CENPJ,centromere protein J
10399,NP_060915,SELS,selenoprotein S
10400,NP_002560,FURIN,furin preproprotein
10401,NP_116195,C3ORF39,glycosyltransferase-like domain-containing protein 2 precursor
10402,NP_001093254,FBXL19,F-box/LRR-repeat protein 19 isoform 1
10403,NP_818931,PTPDC1,protein tyrosine phosphatase domain-containing protein 1 isoform 2
10404,NP_612206,FAM122A,protein FAM122A
10405,NP_653320,CCDC13,coiled-coil domain-containing protein 13
10406,NP_002988,SDC1,syndecan-1 precursor
10407,NP_037403,PCSK1N,proSAAS precursor
10408,NP_001534,NDST1,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
10409,NP_001073921,GPR108,protein GPR108 precursor
10410,NP_061977,LIN37,protein lin-37 homolog
10411,NP_001074260,C15ORF57,uncharacterized protein C15orf57 isoform b
10412,NP_003159,SUPT4H1,transcription elongation factor SPT4
10413,NP_055616,PCNXL2,pecanex-like protein 2
10414,NP_055976,ARL6IP1,ADP-ribosylation factor-like protein 6-interacting protein 1
10415,NP_150597,MRPS36,"28S ribosomal protein S36, mitochondrial"
10416,NP_001167579,ZBED6,zinc finger BED domain-containing protein 6
10417,NP_009099,ABCA8,ATP-binding cassette sub-family A member 8
10418,NP_525022,ABCA9,ATP-binding cassette sub-family A member 9
10419,NP_001026909,ASB9,ankyrin repeat and SOCS box protein 9 isoform 1
10420,NP_001162002,ASB9,ankyrin repeat and SOCS box protein 9 isoform 3
10421,NP_115871,DOT1L,"histone-lysine N-methyltransferase, H3 lysine-79 specific"
10422,NP_001182412,SLC12A8,solute carrier family 12 member 8
10423,NP_001229668,ZNF691,zinc finger protein 691 isoform 1
10424,NP_114109,MRPL32,"39S ribosomal protein L32, mitochondrial precursor"
10425,NP_003842,CREG1,protein CREG1 precursor
10426,NP_112571,FCRL5,Fc receptor-like protein 5 isoform 1 precursor
10427,NP_001182317,FCRL5,Fc receptor-like protein 5 isoform 2 precursor
10428,NP_079540,THUMPD2,THUMP domain-containing protein 2
10429,NP_775746,DCUN1D3,DCN1-like protein 3
10430,NP_056978,STMN3,stathmin-3 isoform 1
10431,NP_115866,MRPL41,"39S ribosomal protein L41, mitochondrial"
10432,NP_690002,FAM133B,protein FAM133B isoform 1
10433,NP_775969,FAM133A,protein FAM133A
10434,NP_036477,NUFIP1,nuclear fragile X mental retardation-interacting protein 1
10435,NP_001138424,SDK2,protein sidekick-2 precursor
10436,NP_001014765,FBXO44,F-box only protein 44 isoform 1
10437,NP_904320,FBXO44,F-box only protein 44 isoform 2
10438,NP_000234,MEFV,pyrin isoform 1
10439,NP_054701,LAMP2,lysosome-associated membrane glycoprotein 2 isoform B precursor
10440,NP_002285,LAMP2,lysosome-associated membrane glycoprotein 2 isoform A precursor
10441,NP_001229410,EIF1AD,probable RNA-binding protein EIF1AD
10442,NP_001841,COL8A1,collagen alpha-1(VIII) chain precursor
10443,NP_722523,SNX14,sorting nexin-14 isoform a
10444,NP_078905,MLF1IP,centromere protein U
10445,NP_620160,FAM3D,protein FAM3D precursor
10446,NP_067061,FAM60A,protein FAM60A
10447,NP_001107561,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 isoform 2
10448,NP_055087,ADAMTS7,A disintegrin and metalloproteinase with thrombospondin motifs 7 preproprotein
10449,NP_001028222,MTERFD3,"mTERF domain-containing protein 3, mitochondrial precursor"
10450,NP_115789,C15ORF48,normal mucosa of esophagus-specific gene 1 protein
10451,NP_995325,MUSTN1,musculoskeletal embryonic nuclear protein 1
10452,NP_001185903,TMEM110-MUSTN1,TMEM110-MUSTN1 fusion protein
10453,NP_001129970,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial precursor"
10454,NP_005098,EXOG,"nuclease EXOG, mitochondrial isoform 1 precursor"
10455,NP_689733,ZNF385B,zinc finger protein 385B isoform 1
10456,NP_848026,MRPL52,"39S ribosomal protein L52, mitochondrial isoform a"
10457,NP_612395,NAF1,H/ACA ribonucleoprotein complex non-core subunit NAF1 isoform a
10458,NP_001159506,SBSN,suprabasin isoform 1 precursor
10459,NP_079047,NAA40,N-alpha-acetyltransferase 40
10460,NP_001182399,SATB1,DNA-binding protein SATB1 isoform 2
10461,NP_115733,CCDC115,coiled-coil domain-containing protein 115
10462,NP_055608,LCMT2,leucine carboxyl methyltransferase 2
10463,NP_997397,DEF8,differentially expressed in FDCP 8 homolog isoform 1
10464,NP_001180265,SEC14L6,putative SEC14-like protein 6
10465,NP_001124334,RAD51AP1,RAD51-associated protein 1 isoform a
10466,NP_004656,VNN2,vascular non-inflammatory molecule 2 isoform 1 precursor
10467,NP_787077,ODF3L1,outer dense fiber protein 3-like protein 1
10468,NP_001842,COL9A1,collagen alpha-1(IX) chain isoform 1 precursor
10469,NP_065157,LYRM1,LYR motif-containing protein 1
10470,NP_067032,NLRC4,NLR family CARD domain-containing protein 4
10471,NP_005405,SKIL,ski-like protein isoform 1
10472,NP_003944,MPZL1,myelin protein zero-like protein 1 isoform a precursor
